Time Elapsed,CPU (%),Memory (KB)
6.35,127.7,59456
11.36,127.5,77948
16.37,128.5,94440
21.37,105.7,164416
26.38,104.1,171968
31.38,88.7,172096
36.39,109.3,171960
41.39,139.9,172216
46.4,157.5,172856
51.4,161.9,173624
56.41,130.7,174008
61.42,116.9,174008
66.42,123.7,174008
71.43,112.5,174008
76.43,24.0,174008
81.44,0.4,174008
86.44,2.8,174008
91.45,0.2,174008
96.46,0.8,174008
101.46,0.4,174008
106.47,1.2,174008
111.47,0.2,174008
116.48,0.4,174008
121.49,0.2,174008
126.49,0.8,174008
131.5,0.6,174008
136.5,0.2,174008
141.51,0.4,174008
146.52,0.2,174008
151.52,56.7,172512
156.53,194.0,174560
161.53,195.2,176736
166.54,193.8,178784
171.54,196.0,180832
176.55,194.6,183136
181.56,179.4,185184
186.56,0.4,185184
191.57,0.4,185184
196.57,0.4,185184
201.58,0.4,185184
206.59,0.4,185184
211.59,0.4,185184
216.6,0.2,185184
221.6,0.4,185184
226.61,0.4,185184
231.62,0.4,185184
236.62,0.2,185184
241.63,0.4,185184
246.63,0.4,185184
251.64,0.2,185184
256.64,0.4,185184
261.65,51.6,173600
266.65,195.4,175520
271.66,193.4,177568
276.66,195.8,179872
281.67,195.4,181792
286.68,194.8,183712
291.68,185.4,186016
296.69,0.4,186016
301.69,0.2,186016
306.7,0.4,186016
311.7,0.4,186016
316.71,0.6,186016
321.72,0.4,186016
326.72,0.6,186016
331.73,0.2,186016
336.73,0.4,186016
341.74,0.4,186016
346.75,0.2,186016
351.75,0.4,186016
356.76,0.2,186016
361.76,0.4,186016
366.77,0.4,186016
371.78,46.0,173896
376.78,194.8,175688
381.79,194.8,177736
386.79,192.4,179784
391.8,195.6,181832
396.81,196.6,183880
401.81,190.8,185928
406.81,0.2,185928
411.82,0.4,185928
416.82,0.4,185928
421.83,0.2,185928
426.84,0.6,185928
431.84,0.4,185928
436.85,0.2,185928
441.86,0.4,185928
446.86,0.2,185928
451.87,0.4,185928
456.87,0.4,185928
461.88,0.4,185928
466.89,0.2,185928
471.89,0.4,185928
476.9,0.4,185928
481.9,0.2,185928
486.91,0.6,185928
491.92,0.0,185928
496.92,0.6,185928
501.93,0.2,185928
506.93,0.4,185928
511.94,0.2,185928
516.94,0.6,185928
521.94,0.2,185928
526.95,0.4,185928
531.96,0.2,185928
536.96,0.4,185928
541.97,0.2,185928
546.97,0.6,185928
551.98,0.4,185928
556.99,0.2,185928
561.99,0.2,185928
567.0,0.4,185928
572.0,0.2,185928
577.01,0.6,185928
582.01,0.4,185928
587.02,0.0,185928
592.03,5.6,173820
597.03,193.2,175996
602.04,193.4,178044
607.04,191.8,180092
612.05,194.4,182012
617.05,193.6,184060
622.06,194.0,186108
627.06,36.8,186620
632.07,0.2,186620
637.07,0.4,186620
642.08,0.2,186620
647.09,0.4,186620
652.09,0.4,186620
657.1,0.4,186620
662.1,0.2,186620
667.11,0.4,186620
672.12,0.4,186620
677.12,0.2,186620
682.13,0.4,186620
687.13,0.2,186620
692.14,0.4,186620
697.14,0.4,186620
702.15,0.4,186620
707.16,0.8,172864
712.16,0.8,0
