Time Elapsed,CPU (%),Memory (KB)
5.01,50.7,82496
10.01,0.4,82496
15.02,35.4,91620
20.02,155.3,93412
25.03,154.5,95332
30.03,152.3,97508
35.04,148.1,99044
40.04,156.1,99044
45.05,104.1,99044
50.06,2.4,99044
55.06,0.2,99044
60.07,0.4,99044
65.08,0.4,99044
70.08,0.2,99044
75.09,0.4,99044
80.09,1.0,99044
85.1,0.4,99044
90.1,0.4,99044
95.11,0.2,99044
100.12,0.2,99044
105.12,0.4,99044
110.13,0.4,99044
115.13,0.2,99044
120.14,0.4,99044
125.15,0.2,99044
130.15,0.4,99044
135.16,0.4,99044
140.16,0.4,99044
145.17,54.9,94060
150.18,156.2,95596
155.18,160.3,97004
160.19,155.5,98668
165.19,160.2,99180
170.2,160.1,99180
175.2,85.5,99180
180.21,0.4,99180
185.21,0.2,99180
190.21,0.4,99180
195.22,1.0,99180
200.23,0.4,99180
205.23,0.4,99180
210.24,0.4,99180
215.24,0.4,99180
220.25,0.2,99180
225.26,0.2,99180
230.26,0.4,99180
235.27,0.4,99180
240.28,0.2,99180
245.28,0.2,99180
250.28,0.4,99180
255.29,1.2,99180
260.3,0.4,99180
265.3,0.2,99180
270.31,0.4,99180
275.31,0.2,99180
280.32,0.4,99180
285.33,0.4,99180
290.33,0.4,99180
295.34,0.2,99180
300.35,0.4,99180
305.35,0.2,99180
310.36,0.4,99180
315.36,0.2,99180
320.36,0.4,99180
325.37,0.4,99180
330.38,0.2,99180
335.38,0.4,99180
340.39,0.2,99180
345.39,0.4,99180
350.4,0.2,99180
355.41,0.4,99180
360.41,0.2,99180
365.42,0.4,99180
370.42,59.1,94280
375.43,152.8,95688
380.43,155.5,97096
385.44,154.4,98760
390.45,165.4,99272
395.45,152.9,99272
400.46,79.5,99272
405.46,0.4,99272
410.47,0.2,99272
415.47,1.2,99272
420.48,0.2,99272
425.48,0.4,99272
430.49,0.2,99272
435.49,0.4,99272
440.5,0.4,99272
445.51,0.2,99272
450.51,0.2,99272
455.52,0.4,99272
460.52,0.4,99272
465.53,79.7,94632
470.53,150.1,95912
475.54,157.5,97576
480.54,159.7,98856
485.55,160.4,99368
490.56,168.4,99368
495.56,107.9,94580
500.57,149.8,95988
505.57,147.2,97396
510.58,161.4,98804
515.58,161.2,99572
520.59,160.5,99572
525.6,88.7,99572
530.6,0.4,99572
535.61,0.4,99572
540.61,1.0,99572
545.62,0.2,99572
550.63,0.4,99572
555.63,1.2,99572
560.64,0.2,99572
565.64,0.4,99572
570.65,0.4,99572
575.66,0.2,99572
580.66,0.4,99572
585.67,0.2,99572
590.67,0.4,99572
595.68,0.4,99572
600.69,0.2,99572
605.69,0.2,99572
610.7,0.4,99572
615.7,0.4,99572
620.71,0.6,94244
625.72,0.2,94244
630.72,0.4,94244
635.73,0.2,94244
640.73,0.2,94244
645.74,0.4,94244
650.75,0.2,94244
655.75,0.2,94244
