Time Elapsed,CPU (%),Memory (KB)
1.0,120.9,43112
2.01,126.9,49336
3.01,129.8,53432
4.01,126.0,57528
5.01,127.8,57528
6.01,124.0,60600
7.01,124.0,73276
8.02,125.9,75324
9.02,125.0,77372
10.02,123.0,79420
11.02,124.0,79420
12.02,123.0,83516
13.02,122.0,87740
14.02,125.0,89788
15.02,124.8,93948
16.02,125.0,95996
17.03,113.9,147240
18.03,101.0,163652
19.03,99.9,163648
20.03,107.0,163776
21.03,107.9,170184
22.03,101.9,171848
23.04,103.9,171976
24.04,103.9,171976
25.04,105.9,172104
26.04,105.9,172104
27.04,102.9,172104
28.04,102.0,172104
29.05,102.9,172104
30.05,21.0,172104
31.05,35.0,172104
32.05,105.0,172104
33.05,106.0,172104
34.05,105.9,172104
35.06,107.9,172104
36.06,111.9,172104
37.06,122.9,172104
38.06,126.8,172104
39.06,126.0,172104
40.07,124.9,172104
41.07,127.8,172104
42.07,120.9,172104
43.07,108.9,172104
44.07,112.9,172104
45.08,103.9,172104
46.08,106.9,172104
47.08,107.9,172104
48.08,110.9,172104
49.09,110.9,172104
50.09,105.0,172104
51.09,109.9,172104
52.09,114.9,172104
53.09,68.0,172104
54.09,0.0,172104
55.09,6.0,172104
56.1,0.0,172104
57.1,1.0,172104
58.1,0.0,172104
59.1,0.0,172104
60.1,0.0,172104
61.11,6.0,172104
62.11,2.0,172104
63.11,0.0,172104
64.11,0.0,172104
65.11,1.0,172104
66.12,0.0,172104
67.12,1.0,172104
68.12,0.0,172104
69.12,0.0,172104
70.13,1.0,172104
71.13,0.0,172104
72.13,0.0,172104
73.13,8.0,172104
74.13,3.0,172104
75.14,1.0,172104
76.14,0.0,172104
77.14,0.0,172104
78.14,0.0,172104
79.14,1.0,172104
80.15,0.0,172104
81.15,1.0,172104
82.15,0.0,172104
83.15,1.0,172104
84.15,0.0,172104
85.16,0.0,172104
86.16,0.0,172104
87.16,1.0,172104
88.16,0.0,172104
89.16,3.0,172104
90.17,1.0,172104
91.17,0.0,172104
92.17,0.0,172104
93.17,0.0,172104
94.17,1.0,172104
95.18,1.0,172104
96.18,0.0,172104
97.18,0.0,172104
98.18,0.0,172104
99.18,0.0,172104
100.19,1.0,172104
101.19,0.0,172104
102.19,1.0,172104
103.19,0.0,172104
104.19,2.0,172104
105.2,2.0,172104
106.2,0.0,172104
107.2,0.0,172104
108.2,0.0,172104
109.2,0.0,172104
110.21,0.0,172104
111.21,1.0,172104
112.21,0.0,172104
113.21,1.0,172104
114.22,0.0,172104
115.22,3.0,172104
116.22,0.0,172104
117.22,0.0,172104
118.22,0.0,172104
119.23,1.0,172104
120.23,0.0,172104
121.23,1.0,172104
122.23,0.0,172104
123.23,1.0,172104
124.24,0.0,172104
125.24,0.0,172104
126.24,2.0,172104
127.24,0.0,172104
128.24,0.0,172104
129.25,0.0,172104
130.25,1.0,172104
131.25,1.0,172104
132.25,0.0,172104
133.26,0.0,172104
134.26,0.0,172104
135.26,1.0,172104
136.26,0.0,172104
137.26,1.0,172104
138.27,1.0,172104
139.27,0.0,172104
140.27,0.0,172104
141.27,0.0,172104
142.27,0.0,172104
143.28,0.0,172104
144.28,1.0,172104
145.28,1.0,172104
146.28,0.0,172104
147.28,0.0,172104
148.29,0.0,172104
149.29,0.0,172104
150.29,1.0,172104
151.29,1.0,172104
152.3,0.0,172104
153.3,0.0,172104
154.3,0.0,172104
155.3,0.0,172104
156.3,1.0,172104
157.3,0.0,172104
158.31,0.0,172104
159.31,1.0,172104
160.31,0.0,172104
161.31,0.0,172104
162.31,1.0,172104
163.32,0.0,172104
164.32,0.0,172104
165.32,1.0,172104
166.32,1.0,172104
167.32,0.0,172104
168.32,0.0,172104
169.33,0.0,172104
170.33,0.0,172104
171.33,1.0,172104
172.33,0.0,172104
173.33,0.0,172104
174.34,1.0,172104
175.34,0.0,172104
176.34,88.0,172136
177.34,191.8,172648
178.34,194.0,173160
179.34,197.9,173544
180.35,195.8,173800
181.35,193.9,174184
182.35,191.8,174568
183.35,191.8,175080
184.35,197.9,175464
185.35,193.8,175976
186.36,193.9,176232
187.36,195.8,176744
188.36,194.9,177256
189.36,200.9,177640
190.36,192.8,178024
191.36,196.8,178408
192.37,191.8,178792
193.37,196.8,179304
194.37,194.8,179688
195.37,190.9,180200
196.37,197.8,180712
197.37,191.8,181096
198.38,195.8,181608
199.38,190.8,181992
200.38,193.7,182376
201.38,194.9,182760
202.38,191.9,183272
203.38,191.9,183784
204.39,196.8,184168
205.39,196.8,184680
206.39,191.8,185064
207.39,119.8,185192
208.39,0.0,185192
209.4,1.0,185192
210.4,0.0,185192
211.4,0.0,185192
212.4,1.0,185192
213.41,1.0,185192
214.41,0.0,185192
215.41,0.0,185192
216.41,0.0,185192
217.41,1.0,185192
218.42,1.0,185192
219.42,0.0,185192
220.42,0.0,185192
221.42,0.0,185192
222.42,1.0,185192
223.43,0.0,185192
224.43,0.0,185192
225.43,0.0,185192
226.43,1.0,185192
227.43,0.0,185192
228.44,1.0,185192
229.44,0.0,185192
230.44,0.0,185192
231.44,1.0,185192
232.44,0.0,185192
233.45,1.0,185192
234.45,0.0,185192
235.45,0.0,185192
236.45,0.0,185192
237.45,0.0,185192
238.46,1.0,185192
239.46,0.0,185192
240.46,0.0,185192
241.46,1.0,185192
242.46,0.0,185192
243.47,1.0,185192
244.47,0.0,185192
245.47,1.0,185192
246.47,0.0,185192
247.48,1.0,185192
248.48,0.0,185192
249.48,1.0,185192
250.48,0.0,185192
251.48,1.0,185192
252.49,0.0,185192
253.49,0.0,185192
254.49,1.0,185192
255.49,0.0,185192
256.49,1.0,185192
257.5,0.0,185192
258.5,0.0,185192
259.5,0.0,185192
260.5,0.0,185192
261.5,1.0,185192
262.51,0.0,185192
263.51,0.0,185192
264.51,1.0,185192
265.51,0.0,185192
266.52,0.0,185192
267.52,1.0,185192
268.52,0.0,185192
269.52,0.0,185192
270.52,0.0,185192
271.53,0.0,185192
272.53,1.0,185192
273.53,1.0,185192
274.53,0.0,185192
275.53,0.0,185192
276.53,0.0,185192
277.54,0.0,185192
278.54,0.0,185192
279.54,1.0,185192
280.54,1.0,185192
281.55,0.0,185192
282.55,0.0,185192
283.55,0.0,185192
284.55,0.0,185192
285.55,0.0,185192
286.56,1.0,185192
287.56,1.0,185192
288.56,0.0,185192
289.56,0.0,185192
290.56,1.0,185192
291.57,0.0,185192
292.57,0.0,185192
293.57,0.0,185192
294.57,1.0,185192
295.57,1.0,185192
296.58,0.0,185192
297.58,0.0,185192
298.58,0.0,185192
299.58,0.0,185192
300.58,0.0,185192
301.59,1.0,185192
302.59,1.0,185192
303.59,0.0,185192
304.59,0.0,185192
305.6,0.0,185192
306.6,1.0,185192
307.6,0.0,185192
308.6,0.0,185192
309.6,0.0,185192
310.61,1.0,185192
311.61,1.0,185192
312.61,0.0,185192
313.61,0.0,185192
314.61,0.0,185192
315.62,0.0,185192
316.62,1.0,185192
317.62,0.0,185192
318.62,1.0,185192
319.62,0.0,185192
320.63,1.0,185192
321.63,0.0,185192
322.63,2.0,185192
323.63,86.9,173340
324.64,193.8,173852
325.64,195.8,174364
326.64,196.8,174876
327.64,193.0,175260
328.64,195.0,175644
329.64,195.8,176028
330.64,192.9,176412
331.65,191.8,176796
332.65,196.8,177180
333.65,192.9,177564
334.65,188.8,177820
335.65,191.8,178332
336.65,196.9,178844
337.66,190.8,179228
338.66,191.9,179612
339.66,189.8,180124
340.66,194.8,180508
341.66,194.8,180892
342.66,196.9,181276
343.67,197.9,181788
344.67,194.8,182172
345.67,195.9,182556
346.67,197.7,182940
347.67,197.8,183452
348.67,194.8,183836
349.68,196.8,184220
350.68,196.8,184476
351.68,197.9,184860
352.68,196.8,185244
353.68,191.8,185628
354.69,115.8,185756
355.69,0.0,185756
356.69,0.0,185756
357.69,1.0,185756
358.69,1.0,185756
359.7,0.0,185756
360.7,1.0,185756
361.7,0.0,185756
362.7,0.0,185756
363.7,1.0,185756
364.71,1.0,185756
365.71,0.0,185756
366.71,0.0,185756
367.71,0.0,185756
368.71,1.0,185756
369.72,0.0,185756
370.72,0.0,185756
371.72,0.0,185756
372.72,1.0,185756
373.73,0.0,185756
374.73,1.0,185756
375.73,0.0,185756
376.73,0.0,185756
377.73,0.0,185756
378.74,1.0,185756
379.74,0.0,185756
380.74,0.0,185756
381.74,0.0,185756
382.74,1.0,185756
383.75,0.0,185756
384.75,1.0,185756
385.75,0.0,185756
386.75,0.0,185756
387.75,1.0,185756
388.76,0.0,185756
389.76,0.0,185756
390.76,0.0,185756
391.76,0.0,185756
392.77,1.0,185756
393.77,0.0,185756
394.77,0.0,185756
395.77,1.0,185756
396.77,62.0,173744
397.77,193.0,174384
398.78,192.8,174512
399.78,190.8,175024
400.78,190.8,175536
401.78,189.8,176048
402.78,195.8,176560
403.79,196.9,176816
404.79,196.8,177200
405.79,198.8,177584
406.79,195.8,178096
407.79,197.8,178480
408.79,195.9,178864
409.8,192.8,179376
410.8,192.9,179760
411.8,192.7,180016
412.8,195.8,180400
413.8,194.9,180784
414.8,196.8,181296
415.81,193.8,181680
416.81,193.8,182192
417.81,187.9,182576
418.81,188.8,182960
419.81,189.8,183344
420.81,199.0,183728
421.82,189.8,184368
422.82,193.9,184624
423.82,197.8,185008
424.82,190.8,185392
425.82,194.7,185648
426.83,191.8,186032
427.83,140.8,186288
428.83,2.0,186288
429.83,0.0,186288
430.83,0.0,186288
431.83,1.0,186288
432.84,0.0,186416
433.84,0.0,186416
434.84,0.0,186416
435.84,2.0,186416
436.85,0.0,186416
437.85,0.0,186416
438.85,0.0,186416
439.85,1.0,186416
440.85,0.0,186416
441.86,0.0,186416
442.86,0.0,186416
443.86,0.0,186416
444.86,1.0,186416
445.86,0.0,186416
446.87,1.0,186416
447.87,0.0,186416
448.87,0.0,186416
449.87,1.0,186416
450.87,0.0,186416
451.88,0.0,186416
452.88,0.0,186416
453.88,1.0,186416
454.88,0.0,186416
455.89,0.0,186416
456.89,1.0,186416
457.89,0.0,186416
458.89,0.0,186416
459.89,0.0,186416
460.9,0.0,186416
461.9,1.0,186416
462.9,0.0,186416
463.9,0.0,186416
464.9,2.0,186416
465.91,0.0,186416
466.91,0.0,186416
467.91,1.0,186416
468.91,0.0,186416
469.92,0.0,186544
470.92,1.0,186544
471.92,1.0,186544
472.92,0.0,186544
473.92,0.0,186544
474.93,0.0,186544
475.93,0.0,186544
476.93,0.0,186544
477.93,2.0,186544
478.93,0.0,186544
479.94,0.0,186544
480.94,0.0,186544
481.94,0.0,186544
482.94,0.0,186544
483.95,2.0,186544
484.95,0.0,186544
485.95,0.0,186544
486.95,0.0,186544
487.95,1.0,186544
488.95,0.0,186544
489.96,0.0,186544
490.96,0.0,186544
491.96,1.0,186544
492.96,0.0,186544
493.97,1.0,186544
494.97,0.0,186544
495.97,0.0,186544
496.97,0.0,186544
497.97,0.0,186544
498.98,2.0,186544
499.98,0.0,186544
500.98,0.0,186544
501.98,0.0,186544
502.98,0.0,186544
503.99,0.0,186544
504.99,1.0,186544
505.99,1.0,186544
506.99,0.0,186544
507.99,0.0,186544
509.0,0.0,186544
510.0,0.0,186544
511.0,1.0,186544
512.0,0.0,186544
513.0,1.0,186544
514.01,0.0,186544
515.01,0.0,186544
516.01,0.0,186544
517.01,0.0,186544
518.01,2.0,186544
519.02,0.0,186544
520.02,0.0,186544
521.02,0.0,186544
522.02,0.0,186544
523.03,0.0,186544
524.03,4.0,186544
525.03,0.0,186544
526.03,0.0,186544
527.03,0.0,186544
528.04,2.0,186544
529.04,0.0,186544
530.04,0.0,186544
531.04,0.0,186544
532.04,0.0,186544
533.05,0.0,186544
534.05,1.0,186544
535.05,1.0,186544
536.05,0.0,186544
537.06,0.0,186544
538.06,0.0,186544
539.06,0.0,186544
540.06,1.0,186544
541.06,0.0,186544
542.07,0.0,186544
543.07,1.0,186544
544.07,58.0,174064
545.07,193.8,174576
546.07,191.8,174960
547.07,197.7,175216
548.08,194.8,175600
549.08,186.8,175984
550.08,193.8,176496
551.08,195.8,176752
552.08,193.8,177264
553.09,185.8,177520
554.09,193.9,178032
555.09,194.8,178544
556.09,191.9,178928
557.09,195.9,179184
558.09,188.8,179696
559.1,196.7,180080
560.1,196.9,180464
561.1,196.7,180848
562.1,189.9,181360
563.1,196.8,181744
564.1,194.8,182256
565.11,194.8,182512
566.11,197.8,182896
567.11,192.9,183280
568.11,195.8,183664
569.11,197.9,184048
570.11,191.9,184432
571.12,196.7,184816
572.12,197.8,185200
573.12,197.8,185584
574.12,190.8,185968
575.12,149.8,186224
576.13,2.0,186224
577.13,0.0,186224
578.13,0.0,186224
579.13,0.0,186224
580.13,1.0,186224
581.14,0.0,186224
582.14,0.0,186224
583.14,1.0,186224
584.14,0.0,186224
585.14,1.0,186224
586.15,0.0,186224
587.15,0.0,186224
588.15,0.0,186224
589.15,0.0,186224
590.15,1.0,186224
591.16,1.0,186224
592.16,0.0,186224
593.16,0.0,186224
594.16,0.0,186224
595.17,0.0,186224
596.17,0.0,186224
597.17,1.0,186224
598.17,0.0,186224
599.17,1.0,186224
600.18,0.0,186224
601.18,0.0,186224
602.18,0.0,186224
603.18,2.0,186224
604.18,0.0,186224
605.19,0.0,186224
606.19,0.0,186224
607.19,1.0,186224
608.19,0.0,186224
609.2,0.0,186224
610.2,0.0,186224
611.2,0.0,186224
612.2,1.0,186224
613.2,0.0,186224
614.21,0.0,186224
615.21,1.0,186224
616.21,1.0,186224
617.21,0.0,186224
618.21,0.0,186352
619.22,1.0,186352
620.22,0.0,186352
621.22,0.0,186352
622.22,1.0,186352
623.23,0.0,186352
624.23,0.0,186352
625.23,1.0,186352
626.23,0.0,186352
627.23,0.0,186352
628.24,0.0,186352
629.24,1.0,186352
630.24,0.0,186352
631.24,0.0,186352
632.24,1.0,186352
633.25,0.0,186352
634.25,0.0,186352
635.25,1.0,186352
636.25,0.0,186352
637.26,1.0,186352
638.26,0.0,186352
639.26,0.0,186352
640.26,1.0,186352
641.26,0.0,186352
642.27,0.0,186352
643.27,0.0,186352
644.27,0.0,186352
645.27,1.0,186352
646.27,0.0,186352
647.28,1.0,186352
648.28,0.0,186352
649.28,0.0,186352
650.28,0.0,186352
651.28,1.0,186352
652.29,0.0,186352
653.29,0.0,186352
654.29,0.0,186352
655.29,0.0,186352
656.29,2.0,186352
657.3,0.0,186352
658.3,0.0,186352
659.3,0.0,186352
660.3,0.0,186352
661.3,0.0,186352
662.31,0.0,186352
663.31,2.0,186352
664.31,0.0,186352
665.31,1.0,186352
666.32,0.0,186352
667.32,0.0,186352
668.32,1.0,186352
669.32,0.0,186352
670.32,0.0,186352
671.33,1.0,186352
672.33,0.0,186352
673.33,0.0,186352
674.33,1.0,186352
675.33,0.0,186352
676.34,0.0,186352
677.34,0.0,186352
678.34,1.0,186352
679.34,0.0,186352
680.34,0.0,186352
681.35,0.0,186352
682.35,0.0,186352
683.35,2.0,186352
684.35,0.0,186352
685.36,0.0,186352
686.36,0.0,186352
687.36,0.0,186352
688.36,1.0,186352
689.36,0.0,186352
690.36,1.0,186352
691.37,0.0,186352
692.37,3.0,172880
693.37,0.0,172880
694.37,0.0,172880
695.38,0.0,172880
696.38,6.0,0
