Time Elapsed,CPU (%),Memory (KB)
1.01,122.3,43296
2.01,119.9,49440
3.01,129.0,53600
4.01,126.9,53600
5.02,125.8,57760
6.02,128.0,59808
7.02,103.9,121092
8.02,99.0,123452
9.02,107.9,148136
10.03,101.9,152240
11.03,105.0,158384
12.03,101.0,164528
13.03,105.9,168624
14.03,105.9,170544
15.03,105.9,171056
16.03,106.0,171056
17.04,102.9,171056
18.04,85.9,171056
19.04,154.8,171056
20.04,167.9,171056
21.04,155.9,171056
22.04,158.8,171056
23.04,178.9,170768
24.05,140.8,170768
25.05,152.8,170768
26.05,144.0,170768
27.05,143.8,170768
28.05,147.8,170768
29.05,131.0,170768
30.05,135.0,170768
31.06,129.0,170768
32.06,124.0,170896
33.06,128.8,171024
34.06,127.0,171024
35.06,123.9,171024
36.06,147.8,171024
37.07,134.8,171152
38.07,144.8,171152
39.07,139.8,171152
40.07,140.8,171152
41.07,138.9,171280
42.07,135.0,171280
43.07,135.0,171280
44.08,135.9,171272
45.08,136.8,171272
46.08,136.9,171400
47.08,144.9,171528
48.08,144.9,171528
49.08,142.0,171528
50.08,141.9,171528
51.08,143.9,171528
52.08,158.0,171784
53.09,195.9,171784
54.09,195.8,171784
55.09,195.9,171784
56.09,196.9,171784
57.09,196.0,171784
58.09,196.8,171784
59.09,197.8,171784
60.1,196.9,171784
61.1,193.9,171784
62.1,195.0,171784
63.1,196.8,171784
64.1,192.8,171784
65.1,196.8,171784
66.11,196.8,171784
67.11,197.9,171784
68.11,184.9,171784
69.11,195.9,171784
70.11,197.8,171784
71.11,197.8,171784
72.11,198.9,171784
73.12,197.8,171784
74.12,178.8,171652
75.12,190.8,171652
76.12,194.9,171780
77.12,197.8,171780
78.12,195.9,171908
79.12,196.9,172036
80.13,195.9,172036
81.13,195.9,172036
82.13,195.8,172036
83.13,198.8,172036
84.13,197.8,172036
85.14,198.7,172036
86.14,198.9,172036
87.14,197.8,172036
88.14,198.8,172036
89.14,197.9,172036
90.14,197.9,172036
91.15,197.8,172036
92.15,198.8,172036
93.15,197.9,172036
94.15,197.9,172036
95.15,198.8,172036
96.15,197.9,172036
97.15,195.8,172036
98.15,198.9,172036
99.16,196.8,172036
100.16,198.9,172036
101.16,197.9,172036
102.16,194.8,172036
103.16,196.9,172036
104.16,185.0,171880
105.16,195.8,171880
106.17,195.8,172008
107.17,196.9,172008
108.17,197.9,172008
109.17,196.9,172008
110.17,195.8,172008
111.17,195.8,172008
112.17,195.9,172008
113.18,195.9,172008
114.18,197.0,172008
115.18,196.9,172008
116.18,195.9,172008
117.18,197.0,172008
118.18,196.8,172008
119.18,195.8,172008
120.19,195.8,172008
121.19,194.8,172008
122.19,196.9,172008
123.19,196.9,172008
124.19,197.9,172008
125.19,196.8,172008
126.19,196.9,172008
127.19,197.9,172008
128.2,196.9,172008
129.2,196.9,172008
130.2,196.9,172008
131.2,196.8,172008
132.2,198.8,172008
133.2,195.8,172008
134.21,185.8,172008
135.21,193.0,172008
136.21,193.9,172008
137.21,194.8,172008
138.21,195.8,172008
139.21,194.7,172008
140.22,197.7,172008
141.22,195.8,172008
142.22,195.9,172008
143.22,196.8,172008
144.22,194.8,172008
145.22,195.9,172008
146.23,196.9,172008
147.23,196.9,172008
148.23,197.0,172008
149.23,195.8,172008
150.23,196.9,172008
151.23,196.8,172008
152.23,195.9,172008
153.23,196.9,172008
154.24,196.9,172008
155.24,196.9,172008
156.24,196.8,172008
157.24,196.8,172008
158.24,196.8,172008
159.24,196.9,172008
160.24,196.9,172008
161.25,197.9,172008
162.25,196.9,172008
163.25,197.9,172008
164.25,102.9,171432
165.25,0.0,171432
166.25,0.0,171432
167.26,0.0,171432
