Time Elapsed,CPU (%),Memory (KB)
1.0,69.9,73508
2.01,101.0,73508
3.01,71.9,104316
4.01,1.0,104316
5.01,0.0,104316
6.01,1.0,104316
7.01,0.0,104316
8.01,0.0,104316
9.02,0.0,104316
10.02,1.0,104316
11.02,1.0,104316
12.02,0.0,104316
13.03,42.0,106904
14.03,136.9,107672
15.03,140.0,108312
16.03,146.0,109080
17.03,145.0,109592
18.03,140.8,109848
19.03,134.8,110232
20.03,142.0,110232
21.04,165.8,110488
22.04,148.9,110488
23.04,141.9,110488
24.04,156.0,110488
25.04,145.0,110488
26.04,147.8,110488
27.04,143.0,110488
28.05,160.8,110488
29.05,148.9,110488
30.05,147.8,110488
31.05,148.9,110488
32.05,159.9,110488
33.05,152.8,110488
34.06,140.8,110488
35.06,144.0,110488
36.06,145.0,110488
37.06,150.9,110488
38.06,141.8,110488
39.06,149.8,110488
40.06,151.8,110488
41.07,151.8,110488
42.07,156.8,110488
43.07,130.0,109660
44.07,149.8,109660
45.07,147.9,109916
46.07,145.0,109916
47.08,160.8,110172
48.08,163.8,110556
49.08,165.8,110812
50.08,166.8,110940
51.08,149.8,110940
52.09,139.8,111068
53.09,159.8,111196
54.09,145.8,111324
55.09,145.8,111324
56.09,162.0,110720
57.09,146.8,110720
58.1,147.9,110848
59.1,144.9,110848
60.1,149.8,110848
61.1,152.0,110848
62.1,154.8,110848
63.1,148.8,110848
64.11,144.9,110848
65.11,150.0,110848
66.11,156.0,110848
67.11,148.8,110848
68.11,154.8,110848
69.11,150.9,110848
70.11,146.9,110848
71.11,150.0,110848
72.12,153.8,110976
73.12,127.8,110744
74.12,150.8,110744
75.12,154.9,110872
76.12,139.8,111128
77.12,146.0,111128
78.13,157.8,111128
79.13,151.9,111128
80.13,139.8,111128
81.13,136.8,111128
82.13,143.0,111128
83.13,136.9,110976
84.14,166.9,110976
85.14,160.8,110976
86.14,143.8,110976
87.14,138.0,110976
88.14,154.0,110976
89.14,160.8,110976
90.15,155.8,110976
91.15,158.9,110976
92.15,152.8,110976
93.15,158.9,110976
94.15,170.8,110976
95.16,155.8,110976
96.16,145.8,110976
97.16,144.0,110976
98.16,142.0,110976
99.16,144.8,110976
100.16,147.9,110976
101.16,151.0,110976
102.17,160.8,110976
103.17,145.8,110976
104.17,151.0,110976
105.17,143.9,110976
106.17,151.0,111104
107.17,155.8,111104
108.17,161.0,111104
109.18,150.9,111104
110.18,135.0,111104
111.18,142.8,111104
112.18,145.8,111104
113.18,148.8,111104
114.18,149.8,111104
115.19,157.9,111104
116.19,143.0,111104
117.19,153.8,111104
118.19,147.0,111232
119.19,152.8,111232
120.19,145.9,111232
121.19,160.0,111232
122.2,151.8,111232
123.2,150.8,111232
124.2,149.8,111232
125.2,162.8,111232
126.2,149.8,111232
127.21,154.8,111232
128.21,157.8,111232
129.21,159.8,111232
130.21,151.8,111232
131.21,161.0,111232
132.21,171.8,111232
133.22,142.0,110736
134.22,143.0,110736
135.22,142.9,110736
136.22,137.9,110864
137.22,139.8,110992
138.22,146.8,110992
139.22,156.9,111120
140.23,152.9,111120
141.23,165.9,111120
142.23,171.8,111120
143.23,166.8,111120
144.23,157.0,111120
145.23,170.8,111120
146.24,155.9,111120
147.24,149.8,111120
148.24,152.8,111120
149.24,156.0,110968
150.24,139.9,110968
151.24,146.8,111096
152.25,149.9,111096
153.25,141.8,111096
154.25,141.0,111096
155.25,145.9,111096
156.25,137.9,111096
157.25,158.8,111096
158.25,138.0,111096
159.26,140.9,111096
160.26,153.9,111096
161.26,142.8,111096
162.26,149.0,111096
163.26,127.8,110504
164.26,0.0,110504
165.27,0.0,110504
166.27,1.0,110504
167.27,0.0,110504
